"Entidad","Nit Entidad","Departamento Entidad","Ciudad Entidad","OrdenEntidad","Entidad Centralizada","ID del Proceso","Referencia del Proceso","PCI","ID del Portafolio","Nombre del Procedimiento","Descripción del Procedimiento","Fase","Fecha de Publicacion del Proceso","Fecha de Ultima Publicación","Fecha de Publicacion (Fase Planeacion Precalificacion)","Fecha de Publicacion (Fase Seleccion Precalificacion)","Fecha de Publicacion (Manifestacion de Interes)","Fecha de Publicacion (Fase Borrador)","Fecha de Publicacion (Fase Seleccion)","Precio Base","Modalidad de Contratacion","Justificación Modalidad de Contratación","Duracion","Unidad de Duracion","Fecha de Recepcion de Respuestas","Fecha de Apertura de Respuesta","Fecha de Apertura Efectiva","Ciudad de la Unidad de Contratación","Nombre de la Unidad de Contratación","Proveedores Invitados","Proveedores con Invitacion Directa","Visualizaciones del Procedimiento","Proveedores que Manifestaron Interes","Respuestas al Procedimiento","Respuestas Externas","Conteo de Respuestas a Ofertas","Proveedores Unicos con Respuestas","Numero de Lotes","Estado del Procedimiento","ID Estado del Procedimiento","Adjudicado","ID Adjudicacion","CodigoProveedor","Departamento Proveedor","Ciudad Proveedor","Fecha Adjudicacion","Valor Total Adjudicacion","Nombre del Adjudicador","Nombre del Proveedor Adjudicado","NIT del Proveedor Adjudicado","Codigo Principal de Categoria","Estado de Apertura del Proceso","Tipo de Contrato","Subtipo de Contrato","Categorias Adicionales","URLProceso","Codigo Entidad","Estado Resumen"
"ALCALDIA LOCAL DE SUMAPAZ","899999061","Distrito Capital de Bogotá","Bogotá","Territorial","Centralizada","CO1.REQ.848621","FDLS-LP-098-2019","702096124","CO1.BDOS.823726","CONSERVACION PUENTES","REALIZAR POR EL SISTEMA DE PRECIOS UNITARIOS FIJOS SIN FORMULA DE REAJUSTE: LA CONSERVACIÓN DE PUENTES SOBRE CORRIENTES DE AGUA EN LA LOCALIDAD DE SUMAPAZ","Presentación de observaciones","04/29/2019","04/29/2019",,,,"04/29/2019",,"$600.000.000","Licitación pública Obra Publica","No Defenido","5","Mes(es)","05/31/2019","05/31/2019","06/18/2019","Bogotá","AREA DE CONTRATACION","0","0","122","0","0","0","0","0","0","Evaluación","60","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.81101500","Cerrado","Obra","No Definido","V172101500, V172103300, V172141000, V195111600","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.814841","702.096.124","Presentación de observaciones"
"FONDO NACIONAL DE VIVIENDA","830121208","No Definido","No Definido","Nacional","Centralizada","CO1.REQ.1892979","FNV-001-2021","700740038","CO1.BDOS.1840301","CONTRATO INTERADMINISTRATIVO","Realizar la publicación en el diario oficial de los actos administrativos y demás documentos expedidos por el Fondo Nacional de Vivienda FONVIVIENDA-, que deban ser publicados en dicho medio.","Presentación de oferta","03/11/2021","03/11/2021",,,,,"03/11/2021","$448.000.000","Contratación directa","Contratos o convenios Interadministrativos (valor cero)","10","Mes(es)",,,,"Bogotá","FONDO NACIONAL DE VIVIENDA","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.93151611","Abierto","Otro","No Definido","V155101519","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1837392","700.740.038","Presentación de oferta"
"INVIAS","800215807","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.976985","LP-DT-CAU-003-2019_3 (Fase de Selección (Presentación de ofertas))","700676059","CO1.BDOS.927424","MANTENIMIENTO RUTINARIO; DE VIAS A CARGO DEL INSTITUTO NACIONAL DE VIAS; DIRECCIÓN TERRITORIAL CAUCA PROCESO DE LICITACION PÚBLICA (PRODUCTO VIA PRIMARIA MANTENIDA) (Fase de Selección (Presentación de","MANTENIMIENTO RUTINARIO, DE VIAS A CARGO DEL INSTITUTO NACIONAL DE VIAS, DIRECCIÓN TERRITORIAL CAUCA PROCESO DE LICITACION PÚBLICA (PRODUCTO VIA PRIMARIA MANTENIDA)","Fase de Selección (Presentación de ofertas)","09/30/2019","09/30/2019",,,,,"09/30/2019","$53.520.784.298","Licitación pública Obra Publica","No Defenido","33","Mes(es)","10/11/2019","11/26/2019","11/26/2019","Cali","Dirección Territorial Cauca","0","0","107","0","51","0","0","51","38","Seleccionado","70","Si","CO1.AWD.616637","704527936","Cauca","Bolívar","07/08/2022","$1.217.527.123","JORGE ALONSO ORTEGA ROJAS","COOPERATIVA DE TRABAJO ASOCIADO SIGLO XXI","817002635","V1.72141000","Cerrado","Obra","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.943665","700.676.059","Adjudicado"
"ALCALDIA DE FLORIDABLANCA","890205176","Santander","Floridablanca","Territorial","Centralizada","CO1.REQ.9500237","FLO-INFRA-SA-MC-007-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta)","704323831","CO1.BDOS.9282110","ADECUACION Y MANTENIMIENTO DE ALGUNAS INSTALACIONES DEL PALACIO MUNICIPAL DEL MUNICIPIO DE FLORIDABLANCA; SANTANDER (Manifestación de interés (Menor Cuantía)) (Presentación de oferta)","ADECUACION Y MANTENIMIENTO DE ALGUNAS INSTALACIONES DEL PALACIO MUNICIPAL DEL MUNICIPIO DE FLORIDABLANCA, SANTANDER","Presentación de oferta","12/30/2025","12/30/2025",,,,,"12/30/2025","$305.813.941","Selección Abreviada de Menor Cuantía","Presupuesto menor al 10% de la Menor Cuantía","2","Mes(es)","12/31/2025","12/31/2025","01/06/2026","Floridablanca","ALCALDÍA DE FLORIDABLANCA","10","10","104","0","3","0","0","3","0","Seleccionado","70","Si","CO1.AWD.2488428","716178215","Santander","Bucaramanga","01/27/2026","$305.644.297","YUDY GONZALEZ BARBOSA","CONSTRUOBRAS ISAVAL S.A.S","No Definido","UNSPECIFIED","Cerrado","Obra","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9352056","704.323.831","Adjudicado"
"INSTITUTO DE DEPORTES Y RECREACION DE MEDELLIN","800194096","Antioquia","Medellín","Territorial","Centralizada","CO1.REQ.4389286","SA-004-2023","700774011","CO1.BDOS.4289726","SUMINISTRO DE EQUIPOS; HERRAMIENTAS Y ELEMENTOS PARA EL MANTENIMIENTO; OPERACIÓN Y SEGURIDAD DE LAS PISCINAS Y ESTRUCTURAS SIMILARES ADMINISTRADAS POR EL INDER MEDELLÍN","SUMINISTRO DE EQUIPOS, HERRAMIENTAS Y ELEMENTOS PARA EL MANTENIMIENTO, OPERACIÓN Y SEGURIDAD DE LAS PISCINAS Y ESTRUCTURAS SIMILARES ADMINISTRADAS POR EL INDER MEDELLÍN","Presentación de observaciones","04/13/2023","04/13/2023",,,,"04/13/2023",,"$270.101.513","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","0","día(s)","05/16/2023","05/16/2023","05/30/2023","Medellín","SUBDIRECCION DE ESCENARIOS DEPORTIVOS","0","0","22","0","0","0","0","0","0","Evaluación","60","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.42192600","Cerrado","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4293527","700.774.011","Presentación de observaciones"
"GOBERNACION DEL CHOCÓ.","891680010","No Definido","No Definido","Territorial","Descentralizada","CO1.REQ.6085225","CD-PS-GDCH-186SS-2024","710188293","CO1.BDOS.5966426","PRESTACION DE SERVICIOS","PRESTACIÓN DE SERVICIOS PROFESIONALES DE UN
(A) NUTRICIONISTA, QUE SIRVA DE APOYO A LA 
DIMENSION DE SEGURIDAD ALIMENTARIA Y 
NUTRICIONAL DE LA SECRETARIA DE SALUD 
DEPARTAMENTAL DEL CHOCO","Presentación de oferta","04/12/2024","04/12/2024",,,,,"04/12/2024","$24.000.000","Contratación directa","Servicios profesionales y apoyo a la gestión","8","Mes(es)",,,,"No Aplica","GOBERNACION- SALUD 2022","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5973718","710.188.293","Presentación de oferta"
"ALCALDIA DE GIRARDOTA","890980807","Antioquia","Girardota","Territorial","Centralizada","CO1.REQ.4114873","5308/SASP01/2023","704694173","CO1.BDOS.4019340","ENAJENACIÓN DIRECTA DE UNA RETROEXCAVADORA; PROPIEDAD DEL MUNICIPIO DE GIRARDOTA","ENAJENACIÓN DIRECTA DE UNA RETROEXCAVADORA, PROPIEDAD DEL MUNICIPIO DE GIRARDOTA","Presentación de observaciones","02/17/2023","02/17/2023",,,,"02/17/2023",,"$86.000.000","Enajenación de bienes con subasta","Artículo 99 del Decreto 1510 de 2013","90","día(s)","03/09/2023","03/22/2023","03/22/2023","Girardota","CONTRATACIÓN GIRARDOTA","0","0","13","0","0","0","0","0","0","Evaluación","60","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.22101509","Cerrado","Venta muebles","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4031626","704.694.173","Presentación de observaciones"
"COMPRADOR ESE CARMEN EMILIA OSPINA PERFIL","8130052657","Huila","Neiva","Territorial","Centralizada","CO1.REQ.7180132","0511-2024","718026529","CO1.BDOS.7045385","CONTRATAR EL SUMINISTRO DE INSUMOS PARA EL LABORATORIO CLINICO","No definido","Presentación de oferta","11/15/2024","11/15/2024",,,,,"11/15/2024","$320.000.000","Contratación régimen especial","Regla aplicable","45","día(s)",,,,"Neiva","OFICINA DE CONTRATACION","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85101500","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7058869","718.026.529","Presentación de oferta"
"CXAYUCE JXUT ESE","900052148","Cauca","Toribio","Nacional","Centralizada","CO1.REQ.7095796","CSS-297-2024 - JORGE CONSUEGRA OTERO","711844142","CO1.BDOS.6963834","Prestar los servicios Profesionales para realizar actividades de toma de ecografías obstétricas; ecografías transvaginales; ginecológicas; consultas especializadas en CXAYUCE JXUT E.S.E","Prestar los servicios Profesionales para realizar actividades de toma de ecografías obstétricas, ecografías transvaginales, ginecológicas, consultas especializadas en CXAYUCE JXUT E.S.E","Presentación de oferta","10/30/2024","10/30/2024",,,,,"10/30/2024","$21.280.000","Contratación régimen especial","Decreto 092 de 2017","71","día(s)",,,,"Toribio","UNIDAD PAA CXAYU´CE JXUT E.S.E.","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85121601","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6975306","711.844.142","Presentación de oferta"
"INSTITUCION EDUCATIVA LAS COLINAS","900231975","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.10651936","CONTRATO PRESTACIÓN DE SERVICIOS No 009","705329043","CO1.BDOS.10469193","SANDRA MILENA PERNAGORDA VALENCIA","Prestación de servicios profesionales para la contratación de un contador público, teniendo en cuenta que la Institución Educativa no cuenta con este perfil profesional para brindar acompañamiento y asesoría a los diferentes procesos contables, Presupuestales, y Financieros e informes que maneja la Institución Educativa Las Colinas como lo son: a la Secretaria de Educación Municipal, y a los diferentes entes de control durante los meses de Julio 10 al 02 de Diciembre 2026.","Presentación de oferta","07/14/2026","07/14/2026",,,,,"07/14/2026","$5.400.000","Contratación régimen especial","Regla aplicable","142","día(s)",,,,"Armenia","RECTORIA","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.84111500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10505980","705.329.043","Presentación de oferta"
"ALCALDIA  MUNICIPIO DE IBAGUE*","800113389","Tolima","Ibagué","Territorial","Centralizada","CO1.REQ.600806","AI-CD-PSN-0640-2018","700787393","CO1.BDOS.580394","AI-CD-PSN-0640-2018","PRESTACION DE SERVICIOS DE APOYO COMO VIGIA  DE TRANSITO  EN LA PREVENCION, REGULACION Y MEJORAMIENTO DE LA MOVILIDAD  Y LA SEGURIDAD VIAL  A CARGO DE LA STTM DEL MUNICIPIO DE IBAGUE","Presentación de oferta","10/31/2018","10/31/2018",,,,,"10/31/2018","$2.200.000","Contratación directa","Servicios profesionales y apoyo a la gestión","2","Mes(es)",,,,"Ibagué","DIRECCIÓN DE CONTRATACIÓN VIGENCIA 2016-2019","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.581203","700.787.393","Presentación de oferta"
"DIRECCION DE IMPUESTOS Y ADUANAS NACIONALES*","800197268","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.581658","BID-3155-OC-CO-SC-043-2018","700795065","CO1.BDOS.559609","Contratar la prestación del servicio de diseño; producción; desarrollo y difusión de estrategias de comunicación externas e internas","Contratar la prestación del servicio de diseño, producción, desarrollo y difusión de estrategias de comunicación externas e internas que incluyan: planes de medios, piezas de comunicación, y actividades de divulgación necesarias para la masificación del nuevo modelo de factura electrónica","Presentación de oferta","10/09/2018","10/09/2018",,,,,"10/09/2018","$650.000.000","Contratación régimen especial","Regla aplicable","70","día(s)",,,,"Bogotá","13-10-00-101-Sub de Gestión Fiscalización Tributaria","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.82101800","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.560442","700.795.065","Presentación de oferta"
